Full_Domain,Domain,Entropy,Bigram_score,Trigram_score,Trigram_benign_score,Trigram_malicious_score
ofdhiydrrttpblp.com,ofdhiydrrttpblp,3.72161172397,0.0983116818692,0.00230044273391,0.000342348510784,0.000510790448219,1
puciftnfkplcbhp.net,puciftnfkplcbhp,3.57661764491,0.0959130412754,0.00541168489406,0.000342348510784,0.000510790448219,1
bowjjxxnhkyvygk.biz,bowjjxxnhkyvygk,3.72161172397,0.0926635092616,0.00527130476809,0.000342348510784,0.000510790448219,1
osvwkptpwqyiqen.ru,osvwkptpwqyiqen,3.83659166811,0.0988805719398,0.00303781528441,0.000342348510784,0.000510790448219,1
cpmjpnwdgbxyyql.org,cpmjpnwdgbxyyql,3.93213803976,0.0901501783443,0.00593773347729,0.000342348510784,0.000510790448219,1
ptlwqfsfvhxlaxw.co.uk,ptlwqfsfvhxlaxw,3.91612694659,0.0923472148538,0.0049877954423,0.000342348510784,0.000510790448219,1
wwcdhdhijsfsuyr.info,wwcdhdhijsfsuyr,3.72192809489,0.0939684375162,0.00260851636475,0.000342348510784,0.000510790448219,1
kbbqiudkyyffmeq.com,kbbqiudkyyffmeq,3.61634856608,0.0906416035727,0.00248596087891,0.000342348510784,0.000510790448219,1
xxrdnsgxijevnij.net,xxrdnsgxijevnij,3.43162356585,0.0918373805251,0.00102779890081,0.000342348510784,0.000510790448219,1
lcqqokcaxpeiowq.biz,lcqqokcaxpeiowq,3.6818808028,0.0984239285069,0.00325818459144,0.000342348510784,0.000510790448219,1
fhhvhiqlrtwpnik.ru,fhhvhiqlrtwpnik,3.68354236243,0.097526036862,0.00403519701326,0.000342348510784,0.000510790448219,1
gwgweakshkaxnqv.org,gwgweakshkaxnqv,3.6818808028,0.0982748636688,0.00380312197242,0.000342348510784,0.000510790448219,1
giwvnxpbqkvsnet.co.uk,giwvnxpbqkvsnet,4.01136504183,0.103549315251,0.00589108790164,0.000299554946936,0.000510790448219,1
hxvwkpjigbybwyw.info,hxvwkpjigbybwyw,3.78418371978,0.0869914699886,0.00312622904663,0.000342348510784,0.000510790448219,1
bpmpfnagtcdmuuk.com,bpmpfnagtcdmuuk,3.6818808028,0.0983429610484,0.00497875010254,0.000342348510784,0.000510790448219,1
cflqcftnjsguukr.net,cflqcftnjsguukr,3.72161172397,0.0944730586484,0.00598854700362,0.000342348510784,0.000510790448219,1
cqcpldyvsscpnpk.biz,cqcpldyvsscpnpk,3.64214988164,0.0965502730941,0.00602534912129,0.000342348510784,0.000510790448219,1
dgbqiusdijfxwrj.ru,dgbqiusdijfxwrj,3.61436944589,0.0923484366968,0.00391920383274,0.000342348510784,0.000510790448219,1
hlwnbtysqxiagpx.org,hlwnbtysqxiagpx,4.03740119765,0.094667738956,0.00335076630434,0.000342348510784,0.000510790448219,1
upvbcolxjjtihdc.co.uk,upvbcolxjjtihdc,3.78494182744,0.0988653396312,0.00211527930812,0.000342348510784,0.000510790448219,1
jpmkpjxurchipbp.info,jpmkpjxurchipbp,3.72192809489,0.0973095262939,0.00322829949829,0.000342348510784,0.000510790448219,1
wtlxqekaknsqhcc.com,wtlxqekaknsqhcc,3.7871439607,0.0930856967238,0.00276592301263,0.000342348510784,0.000510790448219,1
dtchyyinsgowclv.net,dtchyyinsgowclv,3.82687488186,0.110262609073,0.00506157703725,0.000342348510784,0.000510790448219,1
qxbuatuslrafdgv.biz,qxbuatuslrafdgv,3.93213803976,0.103893386221,0.00139715027457,0.000342348510784,0.000510790448219,1
fxrenohptknfepw.ru,fxrenohptknfepw,3.61436944589,0.107940700215,0.00476042043094,0.000342348510784,0.000510790448219,1
scqrojtumvynvxf.org,scqrojtumvynvxf,3.93213803976,0.10023461828,0.00869540926837,0.000342348510784,0.000510790448219,1
lehayercbhrpxfk.co.uk,lehayercbhrpxfk,3.82088885135,0.110747110525,0.0044851583267,0.000342348510784,0.000510790448219,1
mtgbvycptdjchdw.info,mtgbvycptdjchdw,4.02192809489,0.0938435651683,0.00631116412193,0.000342348510784,0.000510790448219,1
